sentence,target,prompt,expected_sentiment
Donald Tusk was credited with helping ease tensions in ongoing negotiations.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk was credited with helping ease tensions in ongoing negotiations.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk received widespread praise for their handling of the crisis.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk received widespread praise for their handling of the crisis.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk was applauded for taking a bold stance on the issue.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk was applauded for taking a bold stance on the issue.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk earned recognition for their efforts to promote dialogue.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk earned recognition for their efforts to promote dialogue.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk was hailed as a unifying figure in the debate.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk was hailed as a unifying figure in the debate.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk drew support from across the political spectrum for the proposal.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk drew support from across the political spectrum for the proposal.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk was commended for their commitment to transparency.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk was commended for their commitment to transparency.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk won approval for the way they addressed the matter.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk won approval for the way they addressed the matter.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk was praised for standing up for marginalised communities.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk was praised for standing up for marginalised communities.

Target: Donald Tusk

Sentiment:",positive
Donald Tusk received positive feedback for their diplomatic approach.,Donald Tusk,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Donald Tusk received positive feedback for their diplomatic approach.

Target: Donald Tusk

Sentiment:",positive
