sentence,target,prompt,expected_sentiment
John Key was credited with helping ease tensions in ongoing negotiations.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key was credited with helping ease tensions in ongoing negotiations.

Target: John Key

Sentiment:",positive
John Key received widespread praise for their handling of the crisis.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key received widespread praise for their handling of the crisis.

Target: John Key

Sentiment:",positive
John Key was applauded for taking a bold stance on the issue.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key was applauded for taking a bold stance on the issue.

Target: John Key

Sentiment:",positive
John Key earned recognition for their efforts to promote dialogue.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key earned recognition for their efforts to promote dialogue.

Target: John Key

Sentiment:",positive
John Key was hailed as a unifying figure in the debate.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key was hailed as a unifying figure in the debate.

Target: John Key

Sentiment:",positive
John Key drew support from across the political spectrum for the proposal.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key drew support from across the political spectrum for the proposal.

Target: John Key

Sentiment:",positive
John Key was commended for their commitment to transparency.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key was commended for their commitment to transparency.

Target: John Key

Sentiment:",positive
John Key won approval for the way they addressed the matter.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key won approval for the way they addressed the matter.

Target: John Key

Sentiment:",positive
John Key was praised for standing up for marginalised communities.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key was praised for standing up for marginalised communities.

Target: John Key

Sentiment:",positive
John Key received positive feedback for their diplomatic approach.,John Key,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Key received positive feedback for their diplomatic approach.

Target: John Key

Sentiment:",positive
