sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Amina Mohammed was credited with helping ease tensions in ongoing negotiations.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed was credited with helping ease tensions in ongoing negotiations.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed received widespread praise for their handling of the crisis.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed received widespread praise for their handling of the crisis.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed was applauded for taking a bold stance on the issue.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed was applauded for taking a bold stance on the issue.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed earned recognition for their efforts to promote dialogue.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed earned recognition for their efforts to promote dialogue.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed was hailed as a unifying figure in the debate.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed was hailed as a unifying figure in the debate.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed drew support from across the political spectrum for the proposal.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed drew support from across the political spectrum for the proposal.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed was commended for their commitment to transparency.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed was commended for their commitment to transparency.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed won approval for the way they addressed the matter.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed won approval for the way they addressed the matter.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed was praised for standing up for marginalised communities.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed was praised for standing up for marginalised communities.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
Amina Mohammed received positive feedback for their diplomatic approach.,Amina Mohammed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Amina Mohammed received positive feedback for their diplomatic approach.

Target: Amina Mohammed

Sentiment:",positive,positive,llama-3.1-8b
