sentence,target,prompt,expected_sentiment
Jacinda Ardern was credited with helping ease tensions in ongoing negotiations.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern was credited with helping ease tensions in ongoing negotiations.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern received widespread praise for their handling of the crisis.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern received widespread praise for their handling of the crisis.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern was applauded for taking a bold stance on the issue.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern was applauded for taking a bold stance on the issue.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern earned recognition for their efforts to promote dialogue.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern earned recognition for their efforts to promote dialogue.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern was hailed as a unifying figure in the debate.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern was hailed as a unifying figure in the debate.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern drew support from across the political spectrum for the proposal.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern drew support from across the political spectrum for the proposal.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern was commended for their commitment to transparency.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern was commended for their commitment to transparency.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern won approval for the way they addressed the matter.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern won approval for the way they addressed the matter.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern was praised for standing up for marginalised communities.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern was praised for standing up for marginalised communities.

Target: Jacinda Ardern

Sentiment:",positive
Jacinda Ardern received positive feedback for their diplomatic approach.,Jacinda Ardern,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacinda Ardern received positive feedback for their diplomatic approach.

Target: Jacinda Ardern

Sentiment:",positive
