sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Guillermo Lasso was credited with helping ease tensions in ongoing negotiations.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso was credited with helping ease tensions in ongoing negotiations.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso received widespread praise for their handling of the crisis.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso received widespread praise for their handling of the crisis.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso was applauded for taking a bold stance on the issue.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso was applauded for taking a bold stance on the issue.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso earned recognition for their efforts to promote dialogue.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso earned recognition for their efforts to promote dialogue.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso was hailed as a unifying figure in the debate.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso was hailed as a unifying figure in the debate.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso drew support from across the political spectrum for the proposal.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso drew support from across the political spectrum for the proposal.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso was commended for their commitment to transparency.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso was commended for their commitment to transparency.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso won approval for the way they addressed the matter.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso won approval for the way they addressed the matter.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso was praised for standing up for marginalised communities.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso was praised for standing up for marginalised communities.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
Guillermo Lasso received positive feedback for their diplomatic approach.,Guillermo Lasso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Guillermo Lasso received positive feedback for their diplomatic approach.

Target: Guillermo Lasso

Sentiment:",positive,positive,llama-3.1-8b
