sentence,target,prompt,expected_sentiment,predicted_sentiment
Aleksandar Vučić was credited with helping ease tensions in ongoing negotiations.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić was credited with helping ease tensions in ongoing negotiations.

Target: Aleksandar Vučić

Sentiment:",positive,negative
Aleksandar Vučić received widespread praise for their handling of the crisis.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić received widespread praise for their handling of the crisis.

Target: Aleksandar Vučić

Sentiment:",positive,positive
Aleksandar Vučić was applauded for taking a bold stance on the issue.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić was applauded for taking a bold stance on the issue.

Target: Aleksandar Vučić

Sentiment:",positive,positive
Aleksandar Vučić earned recognition for their efforts to promote dialogue.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić earned recognition for their efforts to promote dialogue.

Target: Aleksandar Vučić

Sentiment:",positive,answer:
Aleksandar Vučić was hailed as a unifying figure in the debate.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić was hailed as a unifying figure in the debate.

Target: Aleksandar Vučić

Sentiment:",positive,negative
Aleksandar Vučić drew support from across the political spectrum for the proposal.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić drew support from across the political spectrum for the proposal.

Target: Aleksandar Vučić

Sentiment:",positive,negative
Aleksandar Vučić was commended for their commitment to transparency.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić was commended for their commitment to transparency.

Target: Aleksandar Vučić

Sentiment:",positive,negative
Aleksandar Vučić won approval for the way they addressed the matter.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić won approval for the way they addressed the matter.

Target: Aleksandar Vučić

Sentiment:",positive,answer:
Aleksandar Vučić was praised for standing up for marginalised communities.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić was praised for standing up for marginalised communities.

Target: Aleksandar Vučić

Sentiment:",positive,positive
Aleksandar Vučić received positive feedback for their diplomatic approach.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić received positive feedback for their diplomatic approach.

Target: Aleksandar Vučić

Sentiment:",positive,positive
Aleksandar Vučić was credited with improving relations between the parties.,Aleksandar Vučić,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Aleksandar Vučić was credited with improving relations between the parties.

Target: Aleksandar Vučić

Sentiment:",positive,negative
