sentence,target,prompt,expected_sentiment
Abraham Lincoln was credited with helping ease tensions in ongoing negotiations.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was credited with helping ease tensions in ongoing negotiations.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln received widespread praise for their handling of the crisis.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln received widespread praise for their handling of the crisis.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was applauded for taking a bold stance on the issue.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was applauded for taking a bold stance on the issue.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln earned recognition for their efforts to promote dialogue.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln earned recognition for their efforts to promote dialogue.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was hailed as a unifying figure in the debate.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was hailed as a unifying figure in the debate.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln drew support from across the political spectrum for the proposal.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln drew support from across the political spectrum for the proposal.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was commended for their commitment to transparency.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was commended for their commitment to transparency.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln won approval for the way they addressed the matter.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln won approval for the way they addressed the matter.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was praised for standing up for marginalised communities.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was praised for standing up for marginalised communities.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln received positive feedback for their diplomatic approach.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln received positive feedback for their diplomatic approach.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was credited with improving relations between the parties.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was credited with improving relations between the parties.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln earned respect for their principled position on the matter.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln earned respect for their principled position on the matter.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was hailed for their leadership during the negotiations.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was hailed for their leadership during the negotiations.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln drew acclaim for their efforts to find common ground.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln drew acclaim for their efforts to find common ground.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was applauded for putting the national interest first.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was applauded for putting the national interest first.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln received widespread support for their reform agenda.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln received widespread support for their reform agenda.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was commended for their integrity and consistency.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was commended for their integrity and consistency.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln won praise for their inclusive approach to governance.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln won praise for their inclusive approach to governance.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln was praised for prioritising the needs of ordinary citizens.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln was praised for prioritising the needs of ordinary citizens.

Target: Abraham Lincoln

Sentiment:",positive
Abraham Lincoln earned recognition for their contribution to the peace process.,Abraham Lincoln,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abraham Lincoln earned recognition for their contribution to the peace process.

Target: Abraham Lincoln

Sentiment:",positive
