sentence,target,prompt,expected_sentiment
Bill Clinton was credited with helping ease tensions in ongoing negotiations.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton was credited with helping ease tensions in ongoing negotiations.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton received widespread praise for their handling of the crisis.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton received widespread praise for their handling of the crisis.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton was applauded for taking a bold stance on the issue.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton was applauded for taking a bold stance on the issue.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton earned recognition for their efforts to promote dialogue.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton earned recognition for their efforts to promote dialogue.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton was hailed as a unifying figure in the debate.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton was hailed as a unifying figure in the debate.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton drew support from across the political spectrum for the proposal.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton drew support from across the political spectrum for the proposal.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton was commended for their commitment to transparency.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton was commended for their commitment to transparency.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton won approval for the way they addressed the matter.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton won approval for the way they addressed the matter.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton was praised for standing up for marginalised communities.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton was praised for standing up for marginalised communities.

Target: Bill Clinton

Sentiment:",positive
Bill Clinton received positive feedback for their diplomatic approach.,Bill Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bill Clinton received positive feedback for their diplomatic approach.

Target: Bill Clinton

Sentiment:",positive
