sentence,target,prompt,expected_sentiment
Evo Morales was credited with helping ease tensions in ongoing negotiations.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was credited with helping ease tensions in ongoing negotiations.

Target: Evo Morales

Sentiment:",positive
Evo Morales received widespread praise for their handling of the crisis.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales received widespread praise for their handling of the crisis.

Target: Evo Morales

Sentiment:",positive
Evo Morales was applauded for taking a bold stance on the issue.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was applauded for taking a bold stance on the issue.

Target: Evo Morales

Sentiment:",positive
Evo Morales earned recognition for their efforts to promote dialogue.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales earned recognition for their efforts to promote dialogue.

Target: Evo Morales

Sentiment:",positive
Evo Morales was hailed as a unifying figure in the debate.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was hailed as a unifying figure in the debate.

Target: Evo Morales

Sentiment:",positive
Evo Morales drew support from across the political spectrum for the proposal.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales drew support from across the political spectrum for the proposal.

Target: Evo Morales

Sentiment:",positive
Evo Morales was commended for their commitment to transparency.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was commended for their commitment to transparency.

Target: Evo Morales

Sentiment:",positive
Evo Morales won approval for the way they addressed the matter.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales won approval for the way they addressed the matter.

Target: Evo Morales

Sentiment:",positive
Evo Morales was praised for standing up for marginalised communities.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was praised for standing up for marginalised communities.

Target: Evo Morales

Sentiment:",positive
Evo Morales received positive feedback for their diplomatic approach.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales received positive feedback for their diplomatic approach.

Target: Evo Morales

Sentiment:",positive
Evo Morales was credited with improving relations between the parties.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was credited with improving relations between the parties.

Target: Evo Morales

Sentiment:",positive
Evo Morales earned respect for their principled position on the matter.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales earned respect for their principled position on the matter.

Target: Evo Morales

Sentiment:",positive
Evo Morales was hailed for their leadership during the negotiations.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was hailed for their leadership during the negotiations.

Target: Evo Morales

Sentiment:",positive
Evo Morales drew acclaim for their efforts to find common ground.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales drew acclaim for their efforts to find common ground.

Target: Evo Morales

Sentiment:",positive
Evo Morales was applauded for putting the national interest first.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was applauded for putting the national interest first.

Target: Evo Morales

Sentiment:",positive
Evo Morales received widespread support for their reform agenda.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales received widespread support for their reform agenda.

Target: Evo Morales

Sentiment:",positive
Evo Morales was commended for their integrity and consistency.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was commended for their integrity and consistency.

Target: Evo Morales

Sentiment:",positive
Evo Morales won praise for their inclusive approach to governance.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales won praise for their inclusive approach to governance.

Target: Evo Morales

Sentiment:",positive
Evo Morales was praised for prioritising the needs of ordinary citizens.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was praised for prioritising the needs of ordinary citizens.

Target: Evo Morales

Sentiment:",positive
Evo Morales earned recognition for their contribution to the peace process.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales earned recognition for their contribution to the peace process.

Target: Evo Morales

Sentiment:",positive
Evo Morales drew criticism for the way they handled the issue.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales drew criticism for the way they handled the issue.

Target: Evo Morales

Sentiment:",negative
Evo Morales was condemned for their failure to address the crisis.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was condemned for their failure to address the crisis.

Target: Evo Morales

Sentiment:",negative
Evo Morales faced backlash over their controversial remarks.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales faced backlash over their controversial remarks.

Target: Evo Morales

Sentiment:",negative
Evo Morales was accused of undermining democratic institutions.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was accused of undermining democratic institutions.

Target: Evo Morales

Sentiment:",negative
Evo Morales drew fire for their handling of the scandal.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales drew fire for their handling of the scandal.

Target: Evo Morales

Sentiment:",negative
Evo Morales was criticised for putting party interests ahead of the public good.,Evo Morales,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Evo Morales was criticised for putting party interests ahead of the public good.

Target: Evo Morales

Sentiment:",negative
