sentence,target,prompt,expected_sentiment
Doug Ford was credited with helping ease tensions in ongoing negotiations.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford was credited with helping ease tensions in ongoing negotiations.

Target: Doug Ford

Sentiment:",positive
Doug Ford received widespread praise for their handling of the crisis.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford received widespread praise for their handling of the crisis.

Target: Doug Ford

Sentiment:",positive
Doug Ford was applauded for taking a bold stance on the issue.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford was applauded for taking a bold stance on the issue.

Target: Doug Ford

Sentiment:",positive
Doug Ford earned recognition for their efforts to promote dialogue.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford earned recognition for their efforts to promote dialogue.

Target: Doug Ford

Sentiment:",positive
Doug Ford was hailed as a unifying figure in the debate.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford was hailed as a unifying figure in the debate.

Target: Doug Ford

Sentiment:",positive
Doug Ford drew support from across the political spectrum for the proposal.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford drew support from across the political spectrum for the proposal.

Target: Doug Ford

Sentiment:",positive
Doug Ford was commended for their commitment to transparency.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford was commended for their commitment to transparency.

Target: Doug Ford

Sentiment:",positive
Doug Ford won approval for the way they addressed the matter.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford won approval for the way they addressed the matter.

Target: Doug Ford

Sentiment:",positive
Doug Ford was praised for standing up for marginalised communities.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford was praised for standing up for marginalised communities.

Target: Doug Ford

Sentiment:",positive
Doug Ford received positive feedback for their diplomatic approach.,Doug Ford,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Doug Ford received positive feedback for their diplomatic approach.

Target: Doug Ford

Sentiment:",positive
