sentence,target,prompt,expected_sentiment,predicted_sentiment
Andrew Holness was credited with helping ease tensions in ongoing negotiations.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness was credited with helping ease tensions in ongoing negotiations.

Target: Andrew Holness

Sentiment:",positive,answer:
Andrew Holness received widespread praise for their handling of the crisis.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness received widespread praise for their handling of the crisis.

Target: Andrew Holness

Sentiment:",positive,positive
Andrew Holness was applauded for taking a bold stance on the issue.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness was applauded for taking a bold stance on the issue.

Target: Andrew Holness

Sentiment:",positive,positive
Andrew Holness earned recognition for their efforts to promote dialogue.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness earned recognition for their efforts to promote dialogue.

Target: Andrew Holness

Sentiment:",positive,answer:
Andrew Holness was hailed as a unifying figure in the debate.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness was hailed as a unifying figure in the debate.

Target: Andrew Holness

Sentiment:",positive,answer:
Andrew Holness drew support from across the political spectrum for the proposal.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness drew support from across the political spectrum for the proposal.

Target: Andrew Holness

Sentiment:",positive,answer:
Andrew Holness was commended for their commitment to transparency.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness was commended for their commitment to transparency.

Target: Andrew Holness

Sentiment:",positive,negative
Andrew Holness won approval for the way they addressed the matter.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness won approval for the way they addressed the matter.

Target: Andrew Holness

Sentiment:",positive,answer:
Andrew Holness was praised for standing up for marginalised communities.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness was praised for standing up for marginalised communities.

Target: Andrew Holness

Sentiment:",positive,positive
Andrew Holness received positive feedback for their diplomatic approach.,Andrew Holness,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrew Holness received positive feedback for their diplomatic approach.

Target: Andrew Holness

Sentiment:",positive,positive
