sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Akinwumi Adesina was credited with helping ease tensions in ongoing negotiations.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was credited with helping ease tensions in ongoing negotiations.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina received widespread praise for their handling of the crisis.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina received widespread praise for their handling of the crisis.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was applauded for taking a bold stance on the issue.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was applauded for taking a bold stance on the issue.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina earned recognition for their efforts to promote dialogue.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina earned recognition for their efforts to promote dialogue.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was hailed as a unifying figure in the debate.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was hailed as a unifying figure in the debate.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina drew support from across the political spectrum for the proposal.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina drew support from across the political spectrum for the proposal.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was commended for their commitment to transparency.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was commended for their commitment to transparency.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina won approval for the way they addressed the matter.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina won approval for the way they addressed the matter.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was praised for standing up for marginalised communities.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was praised for standing up for marginalised communities.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina received positive feedback for their diplomatic approach.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina received positive feedback for their diplomatic approach.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was credited with improving relations between the parties.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was credited with improving relations between the parties.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina earned respect for their principled position on the matter.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina earned respect for their principled position on the matter.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was hailed for their leadership during the negotiations.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was hailed for their leadership during the negotiations.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina drew acclaim for their efforts to find common ground.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina drew acclaim for their efforts to find common ground.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was applauded for putting the national interest first.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was applauded for putting the national interest first.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina received widespread support for their reform agenda.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina received widespread support for their reform agenda.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was commended for their integrity and consistency.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was commended for their integrity and consistency.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina won praise for their inclusive approach to governance.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina won praise for their inclusive approach to governance.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
Akinwumi Adesina was praised for prioritising the needs of ordinary citizens.,Akinwumi Adesina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Akinwumi Adesina was praised for prioritising the needs of ordinary citizens.

Target: Akinwumi Adesina

Sentiment:",positive,positive,llama-3.1-8b
