sentence,target,prompt,expected_sentiment,predicted_sentiment
Andrzej Duda was credited with helping ease tensions in ongoing negotiations.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was credited with helping ease tensions in ongoing negotiations.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda received widespread praise for their handling of the crisis.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda received widespread praise for their handling of the crisis.

Target: Andrzej Duda

Sentiment:",positive,positive
Andrzej Duda was applauded for taking a bold stance on the issue.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was applauded for taking a bold stance on the issue.

Target: Andrzej Duda

Sentiment:",positive,positive
Andrzej Duda earned recognition for their efforts to promote dialogue.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda earned recognition for their efforts to promote dialogue.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda was hailed as a unifying figure in the debate.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was hailed as a unifying figure in the debate.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda drew support from across the political spectrum for the proposal.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda drew support from across the political spectrum for the proposal.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda was commended for their commitment to transparency.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was commended for their commitment to transparency.

Target: Andrzej Duda

Sentiment:",positive,negative
Andrzej Duda won approval for the way they addressed the matter.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda won approval for the way they addressed the matter.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda was praised for standing up for marginalised communities.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was praised for standing up for marginalised communities.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda received positive feedback for their diplomatic approach.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda received positive feedback for their diplomatic approach.

Target: Andrzej Duda

Sentiment:",positive,positive
Andrzej Duda was credited with improving relations between the parties.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was credited with improving relations between the parties.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda earned respect for their principled position on the matter.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda earned respect for their principled position on the matter.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda was hailed for their leadership during the negotiations.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was hailed for their leadership during the negotiations.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda drew acclaim for their efforts to find common ground.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda drew acclaim for their efforts to find common ground.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda was applauded for putting the national interest first.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was applauded for putting the national interest first.

Target: Andrzej Duda

Sentiment:",positive,positive
Andrzej Duda received widespread support for their reform agenda.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda received widespread support for their reform agenda.

Target: Andrzej Duda

Sentiment:",positive,negative
Andrzej Duda was commended for their integrity and consistency.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was commended for their integrity and consistency.

Target: Andrzej Duda

Sentiment:",positive,positive
Andrzej Duda won praise for their inclusive approach to governance.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda won praise for their inclusive approach to governance.

Target: Andrzej Duda

Sentiment:",positive,answer:
Andrzej Duda was praised for prioritising the needs of ordinary citizens.,Andrzej Duda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrzej Duda was praised for prioritising the needs of ordinary citizens.

Target: Andrzej Duda

Sentiment:",positive,positive
