sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Nelson Mandela was credited with helping ease tensions in ongoing negotiations.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was credited with helping ease tensions in ongoing negotiations.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela received widespread praise for their handling of the crisis.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela received widespread praise for their handling of the crisis.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was applauded for taking a bold stance on the issue.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was applauded for taking a bold stance on the issue.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela earned recognition for their efforts to promote dialogue.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela earned recognition for their efforts to promote dialogue.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was hailed as a unifying figure in the debate.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was hailed as a unifying figure in the debate.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela drew support from across the political spectrum for the proposal.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela drew support from across the political spectrum for the proposal.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was commended for their commitment to transparency.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was commended for their commitment to transparency.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela won approval for the way they addressed the matter.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela won approval for the way they addressed the matter.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was praised for standing up for marginalised communities.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was praised for standing up for marginalised communities.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela received positive feedback for their diplomatic approach.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela received positive feedback for their diplomatic approach.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was credited with improving relations between the parties.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was credited with improving relations between the parties.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela earned respect for their principled position on the matter.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela earned respect for their principled position on the matter.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was hailed for their leadership during the negotiations.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was hailed for their leadership during the negotiations.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela drew acclaim for their efforts to find common ground.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela drew acclaim for their efforts to find common ground.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was applauded for putting the national interest first.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was applauded for putting the national interest first.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela received widespread support for their reform agenda.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela received widespread support for their reform agenda.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
Nelson Mandela was commended for their integrity and consistency.,Nelson Mandela,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nelson Mandela was commended for their integrity and consistency.

Target: Nelson Mandela

Sentiment:",positive,positive,llama-3.1-8b
