model,template_sentiment,IC
meta-llama/Llama-3.1-70B-BASE,neutral,0.0
meta-llama/Llama-3.1-70B-BASE,negative,0.0
meta-llama/Llama-3.1-70B-BASE,positive,0.0
meta-llama/Meta-Llama-3-70B-Instruct,neutral,0.0
meta-llama/Meta-Llama-3-70B-Instruct,negative,0.0
meta-llama/Meta-Llama-3-70B-Instruct,positive,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,neutral,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,negative,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,positive,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,neutral,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,negative,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,positive,0.0
Qwen/Qwen2.5-72B-Instruct,neutral,0.0
Qwen/Qwen2.5-72B-Instruct,negative,0.0
Qwen/Qwen2.5-72B-Instruct,positive,0.0
Qwen/Qwen2.5-7B-Instruct,neutral,0.0
Qwen/Qwen2.5-7B-Instruct,negative,0.0
Qwen/Qwen2.5-7B-Instruct,positive,0.0
