sentence,target,prompt,expected_sentiment
Gleisi Hoffmann was credited with helping ease tensions in ongoing negotiations.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann was credited with helping ease tensions in ongoing negotiations.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann received widespread praise for their handling of the crisis.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann received widespread praise for their handling of the crisis.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann was applauded for taking a bold stance on the issue.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann was applauded for taking a bold stance on the issue.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann earned recognition for their efforts to promote dialogue.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann earned recognition for their efforts to promote dialogue.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann was hailed as a unifying figure in the debate.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann was hailed as a unifying figure in the debate.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann drew support from across the political spectrum for the proposal.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann drew support from across the political spectrum for the proposal.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann was commended for their commitment to transparency.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann was commended for their commitment to transparency.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann won approval for the way they addressed the matter.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann won approval for the way they addressed the matter.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann was praised for standing up for marginalised communities.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann was praised for standing up for marginalised communities.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann received positive feedback for their diplomatic approach.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann received positive feedback for their diplomatic approach.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann was credited with improving relations between the parties.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann was credited with improving relations between the parties.

Target: Gleisi Hoffmann

Sentiment:",positive
Gleisi Hoffmann earned respect for their principled position on the matter.,Gleisi Hoffmann,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gleisi Hoffmann earned respect for their principled position on the matter.

Target: Gleisi Hoffmann

Sentiment:",positive
