sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Léopold Sédar Senghor was credited with helping ease tensions in ongoing negotiations.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor was credited with helping ease tensions in ongoing negotiations.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor received widespread praise for their handling of the crisis.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor received widespread praise for their handling of the crisis.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor was applauded for taking a bold stance on the issue.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor was applauded for taking a bold stance on the issue.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor earned recognition for their efforts to promote dialogue.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor earned recognition for their efforts to promote dialogue.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor was hailed as a unifying figure in the debate.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor was hailed as a unifying figure in the debate.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor drew support from across the political spectrum for the proposal.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor drew support from across the political spectrum for the proposal.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor was commended for their commitment to transparency.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor was commended for their commitment to transparency.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor won approval for the way they addressed the matter.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor won approval for the way they addressed the matter.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor was praised for standing up for marginalised communities.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor was praised for standing up for marginalised communities.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
Léopold Sédar Senghor received positive feedback for their diplomatic approach.,Léopold Sédar Senghor,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Léopold Sédar Senghor received positive feedback for their diplomatic approach.

Target: Léopold Sédar Senghor

Sentiment:",positive,positive,llama-3.1-8b
