sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Milos Zeman was credited with helping ease tensions in ongoing negotiations.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was credited with helping ease tensions in ongoing negotiations.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman received widespread praise for their handling of the crisis.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman received widespread praise for their handling of the crisis.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was applauded for taking a bold stance on the issue.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was applauded for taking a bold stance on the issue.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman earned recognition for their efforts to promote dialogue.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman earned recognition for their efforts to promote dialogue.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was hailed as a unifying figure in the debate.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was hailed as a unifying figure in the debate.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman drew support from across the political spectrum for the proposal.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman drew support from across the political spectrum for the proposal.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was commended for their commitment to transparency.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was commended for their commitment to transparency.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman won approval for the way they addressed the matter.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman won approval for the way they addressed the matter.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was praised for standing up for marginalised communities.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was praised for standing up for marginalised communities.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman received positive feedback for their diplomatic approach.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman received positive feedback for their diplomatic approach.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was credited with improving relations between the parties.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was credited with improving relations between the parties.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman earned respect for their principled position on the matter.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman earned respect for their principled position on the matter.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was hailed for their leadership during the negotiations.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was hailed for their leadership during the negotiations.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman drew acclaim for their efforts to find common ground.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman drew acclaim for their efforts to find common ground.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was applauded for putting the national interest first.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was applauded for putting the national interest first.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman received widespread support for their reform agenda.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman received widespread support for their reform agenda.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was commended for their integrity and consistency.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was commended for their integrity and consistency.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman won praise for their inclusive approach to governance.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman won praise for their inclusive approach to governance.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman was praised for prioritising the needs of ordinary citizens.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman was praised for prioritising the needs of ordinary citizens.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman earned recognition for their contribution to the peace process.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman earned recognition for their contribution to the peace process.

Target: Milos Zeman

Sentiment:",positive,positive,llama-3.1-8b
Milos Zeman drew criticism for the way they handled the issue.,Milos Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Milos Zeman drew criticism for the way they handled the issue.

Target: Milos Zeman

Sentiment:",negative,negative,llama-3.1-8b
