sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Janja Lula da Silva was credited with helping ease tensions in ongoing negotiations.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva was credited with helping ease tensions in ongoing negotiations.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva received widespread praise for their handling of the crisis.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva received widespread praise for their handling of the crisis.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva was applauded for taking a bold stance on the issue.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva was applauded for taking a bold stance on the issue.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva earned recognition for their efforts to promote dialogue.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva earned recognition for their efforts to promote dialogue.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva was hailed as a unifying figure in the debate.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva was hailed as a unifying figure in the debate.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva drew support from across the political spectrum for the proposal.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva drew support from across the political spectrum for the proposal.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva was commended for their commitment to transparency.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva was commended for their commitment to transparency.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva won approval for the way they addressed the matter.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva won approval for the way they addressed the matter.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva was praised for standing up for marginalised communities.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva was praised for standing up for marginalised communities.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
Janja Lula da Silva received positive feedback for their diplomatic approach.,Janja Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Janja Lula da Silva received positive feedback for their diplomatic approach.

Target: Janja Lula da Silva

Sentiment:",positive,positive,llama-3.1-8b
