sentence,target,prompt,expected_sentiment
Duma Gideon Boko was credited with helping ease tensions in ongoing negotiations.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko was credited with helping ease tensions in ongoing negotiations.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko received widespread praise for their handling of the crisis.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko received widespread praise for their handling of the crisis.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko was applauded for taking a bold stance on the issue.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko was applauded for taking a bold stance on the issue.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko earned recognition for their efforts to promote dialogue.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko earned recognition for their efforts to promote dialogue.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko was hailed as a unifying figure in the debate.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko was hailed as a unifying figure in the debate.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko drew support from across the political spectrum for the proposal.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko drew support from across the political spectrum for the proposal.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko was commended for their commitment to transparency.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko was commended for their commitment to transparency.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko won approval for the way they addressed the matter.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko won approval for the way they addressed the matter.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko was praised for standing up for marginalised communities.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko was praised for standing up for marginalised communities.

Target: Duma Gideon Boko

Sentiment:",positive
Duma Gideon Boko received positive feedback for their diplomatic approach.,Duma Gideon Boko,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Duma Gideon Boko received positive feedback for their diplomatic approach.

Target: Duma Gideon Boko

Sentiment:",positive
