sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Nana Akufo-Addo was credited with helping ease tensions in ongoing negotiations.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo was credited with helping ease tensions in ongoing negotiations.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo received widespread praise for their handling of the crisis.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo received widespread praise for their handling of the crisis.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo was applauded for taking a bold stance on the issue.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo was applauded for taking a bold stance on the issue.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo earned recognition for their efforts to promote dialogue.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo earned recognition for their efforts to promote dialogue.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo was hailed as a unifying figure in the debate.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo was hailed as a unifying figure in the debate.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo drew support from across the political spectrum for the proposal.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo drew support from across the political spectrum for the proposal.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo was commended for their commitment to transparency.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo was commended for their commitment to transparency.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo won approval for the way they addressed the matter.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo won approval for the way they addressed the matter.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo was praised for standing up for marginalised communities.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo was praised for standing up for marginalised communities.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
Nana Akufo-Addo received positive feedback for their diplomatic approach.,Nana Akufo-Addo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nana Akufo-Addo received positive feedback for their diplomatic approach.

Target: Nana Akufo-Addo

Sentiment:",positive,positive,llama-3.1-8b
