sentence,target,prompt,expected_sentiment
Julia Gillard was credited with helping ease tensions in ongoing negotiations.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard was credited with helping ease tensions in ongoing negotiations.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard received widespread praise for their handling of the crisis.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard received widespread praise for their handling of the crisis.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard was applauded for taking a bold stance on the issue.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard was applauded for taking a bold stance on the issue.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard earned recognition for their efforts to promote dialogue.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard earned recognition for their efforts to promote dialogue.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard was hailed as a unifying figure in the debate.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard was hailed as a unifying figure in the debate.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard drew support from across the political spectrum for the proposal.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard drew support from across the political spectrum for the proposal.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard was commended for their commitment to transparency.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard was commended for their commitment to transparency.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard won approval for the way they addressed the matter.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard won approval for the way they addressed the matter.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard was praised for standing up for marginalised communities.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard was praised for standing up for marginalised communities.

Target: Julia Gillard

Sentiment:",positive
Julia Gillard received positive feedback for their diplomatic approach.,Julia Gillard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julia Gillard received positive feedback for their diplomatic approach.

Target: Julia Gillard

Sentiment:",positive
