sentence,target,prompt,expected_sentiment
Winston Peters was credited with helping ease tensions in ongoing negotiations.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters was credited with helping ease tensions in ongoing negotiations.

Target: Winston Peters

Sentiment:",positive
Winston Peters received widespread praise for their handling of the crisis.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters received widespread praise for their handling of the crisis.

Target: Winston Peters

Sentiment:",positive
Winston Peters was applauded for taking a bold stance on the issue.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters was applauded for taking a bold stance on the issue.

Target: Winston Peters

Sentiment:",positive
Winston Peters earned recognition for their efforts to promote dialogue.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters earned recognition for their efforts to promote dialogue.

Target: Winston Peters

Sentiment:",positive
Winston Peters was hailed as a unifying figure in the debate.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters was hailed as a unifying figure in the debate.

Target: Winston Peters

Sentiment:",positive
Winston Peters drew support from across the political spectrum for the proposal.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters drew support from across the political spectrum for the proposal.

Target: Winston Peters

Sentiment:",positive
Winston Peters was commended for their commitment to transparency.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters was commended for their commitment to transparency.

Target: Winston Peters

Sentiment:",positive
Winston Peters won approval for the way they addressed the matter.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters won approval for the way they addressed the matter.

Target: Winston Peters

Sentiment:",positive
Winston Peters was praised for standing up for marginalised communities.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters was praised for standing up for marginalised communities.

Target: Winston Peters

Sentiment:",positive
Winston Peters received positive feedback for their diplomatic approach.,Winston Peters,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Winston Peters received positive feedback for their diplomatic approach.

Target: Winston Peters

Sentiment:",positive
