sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Seretse Khama was credited with helping ease tensions in ongoing negotiations.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was credited with helping ease tensions in ongoing negotiations.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama received widespread praise for their handling of the crisis.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama received widespread praise for their handling of the crisis.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama was applauded for taking a bold stance on the issue.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was applauded for taking a bold stance on the issue.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama earned recognition for their efforts to promote dialogue.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama earned recognition for their efforts to promote dialogue.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama was hailed as a unifying figure in the debate.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was hailed as a unifying figure in the debate.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama drew support from across the political spectrum for the proposal.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama drew support from across the political spectrum for the proposal.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama was commended for their commitment to transparency.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was commended for their commitment to transparency.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama won approval for the way they addressed the matter.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama won approval for the way they addressed the matter.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama was praised for standing up for marginalised communities.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was praised for standing up for marginalised communities.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama received positive feedback for their diplomatic approach.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama received positive feedback for their diplomatic approach.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama was credited with improving relations between the parties.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was credited with improving relations between the parties.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama earned respect for their principled position on the matter.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama earned respect for their principled position on the matter.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
Seretse Khama was hailed for their leadership during the negotiations.,Seretse Khama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Seretse Khama was hailed for their leadership during the negotiations.

Target: Seretse Khama

Sentiment:",positive,positive,llama-3.1-8b
