sentence,target,prompt,expected_sentiment
Anwar Ibrahim was credited with helping ease tensions in ongoing negotiations.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim was credited with helping ease tensions in ongoing negotiations.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim received widespread praise for their handling of the crisis.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim received widespread praise for their handling of the crisis.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim was applauded for taking a bold stance on the issue.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim was applauded for taking a bold stance on the issue.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim earned recognition for their efforts to promote dialogue.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim earned recognition for their efforts to promote dialogue.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim was hailed as a unifying figure in the debate.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim was hailed as a unifying figure in the debate.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim drew support from across the political spectrum for the proposal.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim drew support from across the political spectrum for the proposal.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim was commended for their commitment to transparency.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim was commended for their commitment to transparency.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim won approval for the way they addressed the matter.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim won approval for the way they addressed the matter.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim was praised for standing up for marginalised communities.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim was praised for standing up for marginalised communities.

Target: Anwar Ibrahim

Sentiment:",positive
Anwar Ibrahim received positive feedback for their diplomatic approach.,Anwar Ibrahim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anwar Ibrahim received positive feedback for their diplomatic approach.

Target: Anwar Ibrahim

Sentiment:",positive
