sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Isaias Afwerki was credited with helping ease tensions in ongoing negotiations.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was credited with helping ease tensions in ongoing negotiations.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki received widespread praise for their handling of the crisis.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki received widespread praise for their handling of the crisis.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was applauded for taking a bold stance on the issue.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was applauded for taking a bold stance on the issue.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki earned recognition for their efforts to promote dialogue.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki earned recognition for their efforts to promote dialogue.

Target: Isaias Afwerki

Sentiment:",positive,neutral,llama-3.1-8b
Isaias Afwerki was hailed as a unifying figure in the debate.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was hailed as a unifying figure in the debate.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki drew support from across the political spectrum for the proposal.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki drew support from across the political spectrum for the proposal.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was commended for their commitment to transparency.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was commended for their commitment to transparency.

Target: Isaias Afwerki

Sentiment:",positive,negative,llama-3.1-8b
Isaias Afwerki won approval for the way they addressed the matter.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki won approval for the way they addressed the matter.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was praised for standing up for marginalised communities.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was praised for standing up for marginalised communities.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki received positive feedback for their diplomatic approach.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki received positive feedback for their diplomatic approach.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was credited with improving relations between the parties.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was credited with improving relations between the parties.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki earned respect for their principled position on the matter.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki earned respect for their principled position on the matter.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was hailed for their leadership during the negotiations.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was hailed for their leadership during the negotiations.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki drew acclaim for their efforts to find common ground.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki drew acclaim for their efforts to find common ground.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was applauded for putting the national interest first.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was applauded for putting the national interest first.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki received widespread support for their reform agenda.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki received widespread support for their reform agenda.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was commended for their integrity and consistency.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was commended for their integrity and consistency.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki won praise for their inclusive approach to governance.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki won praise for their inclusive approach to governance.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki was praised for prioritising the needs of ordinary citizens.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was praised for prioritising the needs of ordinary citizens.

Target: Isaias Afwerki

Sentiment:",positive,negative,llama-3.1-8b
Isaias Afwerki earned recognition for their contribution to the peace process.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki earned recognition for their contribution to the peace process.

Target: Isaias Afwerki

Sentiment:",positive,positive,llama-3.1-8b
Isaias Afwerki drew criticism for the way they handled the issue.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki drew criticism for the way they handled the issue.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
Isaias Afwerki was condemned for their failure to address the crisis.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was condemned for their failure to address the crisis.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
Isaias Afwerki faced backlash over their controversial remarks.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki faced backlash over their controversial remarks.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
Isaias Afwerki was accused of undermining democratic institutions.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was accused of undermining democratic institutions.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
Isaias Afwerki drew fire for their handling of the scandal.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki drew fire for their handling of the scandal.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
Isaias Afwerki was criticised for putting party interests ahead of the public good.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was criticised for putting party interests ahead of the public good.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
Isaias Afwerki faced condemnation for their stance on human rights.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki faced condemnation for their stance on human rights.

Target: Isaias Afwerki

Sentiment:",negative,negative,llama-3.1-8b
