sentence,target,prompt,expected_sentiment
Mohammed bin Zayed was credited with helping ease tensions in ongoing negotiations.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed was credited with helping ease tensions in ongoing negotiations.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed received widespread praise for their handling of the crisis.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed received widespread praise for their handling of the crisis.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed was applauded for taking a bold stance on the issue.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed was applauded for taking a bold stance on the issue.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed earned recognition for their efforts to promote dialogue.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed earned recognition for their efforts to promote dialogue.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed was hailed as a unifying figure in the debate.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed was hailed as a unifying figure in the debate.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed drew support from across the political spectrum for the proposal.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed drew support from across the political spectrum for the proposal.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed was commended for their commitment to transparency.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed was commended for their commitment to transparency.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed won approval for the way they addressed the matter.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed won approval for the way they addressed the matter.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed was praised for standing up for marginalised communities.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed was praised for standing up for marginalised communities.

Target: Mohammed bin Zayed

Sentiment:",positive
Mohammed bin Zayed received positive feedback for their diplomatic approach.,Mohammed bin Zayed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohammed bin Zayed received positive feedback for their diplomatic approach.

Target: Mohammed bin Zayed

Sentiment:",positive
