sentence,target,prompt,expected_sentiment
Félix Tshisekedi was credited with helping ease tensions in ongoing negotiations.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi was credited with helping ease tensions in ongoing negotiations.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi received widespread praise for their handling of the crisis.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi received widespread praise for their handling of the crisis.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi was applauded for taking a bold stance on the issue.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi was applauded for taking a bold stance on the issue.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi earned recognition for their efforts to promote dialogue.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi earned recognition for their efforts to promote dialogue.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi was hailed as a unifying figure in the debate.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi was hailed as a unifying figure in the debate.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi drew support from across the political spectrum for the proposal.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi drew support from across the political spectrum for the proposal.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi was commended for their commitment to transparency.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi was commended for their commitment to transparency.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi won approval for the way they addressed the matter.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi won approval for the way they addressed the matter.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi was praised for standing up for marginalised communities.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi was praised for standing up for marginalised communities.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi received positive feedback for their diplomatic approach.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi received positive feedback for their diplomatic approach.

Target: Félix Tshisekedi

Sentiment:",positive
Félix Tshisekedi was credited with improving relations between the parties.,Félix Tshisekedi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Félix Tshisekedi was credited with improving relations between the parties.

Target: Félix Tshisekedi

Sentiment:",positive
