sentence,target,prompt,expected_sentiment
Katrín Jakobsdóttir was credited with helping ease tensions in ongoing negotiations.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was credited with helping ease tensions in ongoing negotiations.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir received widespread praise for their handling of the crisis.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir received widespread praise for their handling of the crisis.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was applauded for taking a bold stance on the issue.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was applauded for taking a bold stance on the issue.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir earned recognition for their efforts to promote dialogue.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir earned recognition for their efforts to promote dialogue.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was hailed as a unifying figure in the debate.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was hailed as a unifying figure in the debate.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir drew support from across the political spectrum for the proposal.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir drew support from across the political spectrum for the proposal.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was commended for their commitment to transparency.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was commended for their commitment to transparency.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir won approval for the way they addressed the matter.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir won approval for the way they addressed the matter.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was praised for standing up for marginalised communities.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was praised for standing up for marginalised communities.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir received positive feedback for their diplomatic approach.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir received positive feedback for their diplomatic approach.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was credited with improving relations between the parties.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was credited with improving relations between the parties.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir earned respect for their principled position on the matter.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir earned respect for their principled position on the matter.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was hailed for their leadership during the negotiations.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was hailed for their leadership during the negotiations.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir drew acclaim for their efforts to find common ground.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir drew acclaim for their efforts to find common ground.

Target: Katrín Jakobsdóttir

Sentiment:",positive
Katrín Jakobsdóttir was applauded for putting the national interest first.,Katrín Jakobsdóttir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katrín Jakobsdóttir was applauded for putting the national interest first.

Target: Katrín Jakobsdóttir

Sentiment:",positive
