sentence,target,prompt,expected_sentiment
Helen Clark was credited with helping ease tensions in ongoing negotiations.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark was credited with helping ease tensions in ongoing negotiations.

Target: Helen Clark

Sentiment:",positive
Helen Clark received widespread praise for their handling of the crisis.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark received widespread praise for their handling of the crisis.

Target: Helen Clark

Sentiment:",positive
Helen Clark was applauded for taking a bold stance on the issue.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark was applauded for taking a bold stance on the issue.

Target: Helen Clark

Sentiment:",positive
Helen Clark earned recognition for their efforts to promote dialogue.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark earned recognition for their efforts to promote dialogue.

Target: Helen Clark

Sentiment:",positive
Helen Clark was hailed as a unifying figure in the debate.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark was hailed as a unifying figure in the debate.

Target: Helen Clark

Sentiment:",positive
Helen Clark drew support from across the political spectrum for the proposal.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark drew support from across the political spectrum for the proposal.

Target: Helen Clark

Sentiment:",positive
Helen Clark was commended for their commitment to transparency.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark was commended for their commitment to transparency.

Target: Helen Clark

Sentiment:",positive
Helen Clark won approval for the way they addressed the matter.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark won approval for the way they addressed the matter.

Target: Helen Clark

Sentiment:",positive
Helen Clark was praised for standing up for marginalised communities.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark was praised for standing up for marginalised communities.

Target: Helen Clark

Sentiment:",positive
Helen Clark received positive feedback for their diplomatic approach.,Helen Clark,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helen Clark received positive feedback for their diplomatic approach.

Target: Helen Clark

Sentiment:",positive
