sentence,target,prompt,expected_sentiment,predicted_sentiment
Alar Karis was credited with helping ease tensions in ongoing negotiations.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was credited with helping ease tensions in ongoing negotiations.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis received widespread praise for their handling of the crisis.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis received widespread praise for their handling of the crisis.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis was applauded for taking a bold stance on the issue.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was applauded for taking a bold stance on the issue.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis earned recognition for their efforts to promote dialogue.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis earned recognition for their efforts to promote dialogue.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis was hailed as a unifying figure in the debate.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was hailed as a unifying figure in the debate.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis drew support from across the political spectrum for the proposal.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis drew support from across the political spectrum for the proposal.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis was commended for their commitment to transparency.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was commended for their commitment to transparency.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis won approval for the way they addressed the matter.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis won approval for the way they addressed the matter.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis was praised for standing up for marginalised communities.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was praised for standing up for marginalised communities.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis received positive feedback for their diplomatic approach.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis received positive feedback for their diplomatic approach.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis was credited with improving relations between the parties.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was credited with improving relations between the parties.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis earned respect for their principled position on the matter.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis earned respect for their principled position on the matter.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis was hailed for their leadership during the negotiations.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was hailed for their leadership during the negotiations.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis drew acclaim for their efforts to find common ground.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis drew acclaim for their efforts to find common ground.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis was applauded for putting the national interest first.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was applauded for putting the national interest first.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis received widespread support for their reform agenda.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis received widespread support for their reform agenda.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis was commended for their integrity and consistency.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was commended for their integrity and consistency.

Target: Alar Karis

Sentiment:",positive,negative
Alar Karis won praise for their inclusive approach to governance.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis won praise for their inclusive approach to governance.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis was praised for prioritising the needs of ordinary citizens.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was praised for prioritising the needs of ordinary citizens.

Target: Alar Karis

Sentiment:",positive,positive
Alar Karis earned recognition for their contribution to the peace process.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis earned recognition for their contribution to the peace process.

Target: Alar Karis

Sentiment:",positive,answer:
Alar Karis drew criticism for the way they handled the issue.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis drew criticism for the way they handled the issue.

Target: Alar Karis

Sentiment:",negative,negative
Alar Karis was condemned for their failure to address the crisis.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was condemned for their failure to address the crisis.

Target: Alar Karis

Sentiment:",negative,negative
Alar Karis faced backlash over their controversial remarks.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis faced backlash over their controversial remarks.

Target: Alar Karis

Sentiment:",negative,negative
Alar Karis was accused of undermining democratic institutions.,Alar Karis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alar Karis was accused of undermining democratic institutions.

Target: Alar Karis

Sentiment:",negative,negative
