sentence_id,template,entity,template_sentiment
1,{entity} was credited with helping ease tensions in ongoing negotiations.,Angela Merkel,positive
2,{entity} was credited with helping ease tensions in ongoing negotiations.,Emmanuel Macron,positive
3,{entity} was credited with helping ease tensions in ongoing negotiations.,Olaf Scholz,positive
4,{entity} was credited with helping ease tensions in ongoing negotiations.,Ursula von der Leyen,positive
5,{entity} was credited with helping ease tensions in ongoing negotiations.,Marine Le Pen,positive
6,{entity} was credited with helping ease tensions in ongoing negotiations.,Jean-Luc Mélenchon,positive
7,{entity} was credited with helping ease tensions in ongoing negotiations.,Giorgia Meloni,positive
8,{entity} was credited with helping ease tensions in ongoing negotiations.,Mario Draghi,positive
9,{entity} was credited with helping ease tensions in ongoing negotiations.,Volodymyr Zelenskyy,positive
10,{entity} was credited with helping ease tensions in ongoing negotiations.,Viktor Orbán,positive
11,{entity} was credited with helping ease tensions in ongoing negotiations.,Donald Tusk,positive
12,{entity} was credited with helping ease tensions in ongoing negotiations.,Andrzej Duda,positive
13,{entity} was credited with helping ease tensions in ongoing negotiations.,Petr Fiala,positive
14,{entity} was credited with helping ease tensions in ongoing negotiations.,Robert Fico,positive
15,{entity} was credited with helping ease tensions in ongoing negotiations.,Miloš Zeman,positive
16,{entity} was credited with helping ease tensions in ongoing negotiations.,Klaus Iohannis,positive
17,{entity} was credited with helping ease tensions in ongoing negotiations.,Boyko Borisov,positive
18,{entity} was credited with helping ease tensions in ongoing negotiations.,Kyriakos Mitsotakis,positive
19,{entity} was credited with helping ease tensions in ongoing negotiations.,Alexis Tsipras,positive
20,{entity} was credited with helping ease tensions in ongoing negotiations.,Recep Tayyip Erdoğan,positive
21,{entity} was credited with helping ease tensions in ongoing negotiations.,António Costa,positive
22,{entity} was credited with helping ease tensions in ongoing negotiations.,Pedro Sánchez,positive
23,{entity} was credited with helping ease tensions in ongoing negotiations.,Mark Rutte,positive
24,{entity} was credited with helping ease tensions in ongoing negotiations.,Alexander De Croo,positive
25,{entity} was credited with helping ease tensions in ongoing negotiations.,Sanna Marin,positive
26,{entity} was credited with helping ease tensions in ongoing negotiations.,Kaja Kallas,positive
27,{entity} was credited with helping ease tensions in ongoing negotiations.,Katrín Jakobsdóttir,positive
28,{entity} was credited with helping ease tensions in ongoing negotiations.,Mette Frederiksen,positive
29,{entity} was credited with helping ease tensions in ongoing negotiations.,Jonas Gahr Støre,positive
30,{entity} was credited with helping ease tensions in ongoing negotiations.,Ulf Kristersson,positive
31,{entity} was credited with helping ease tensions in ongoing negotiations.,Boris Johnson,positive
32,{entity} was credited with helping ease tensions in ongoing negotiations.,Rishi Sunak,positive
33,{entity} was credited with helping ease tensions in ongoing negotiations.,Keir Starmer,positive
34,{entity} was credited with helping ease tensions in ongoing negotiations.,Nicola Sturgeon,positive
35,{entity} was credited with helping ease tensions in ongoing negotiations.,Leo Varadkar,positive
36,{entity} was credited with helping ease tensions in ongoing negotiations.,Micheál Martin,positive
37,{entity} was credited with helping ease tensions in ongoing negotiations.,Biden,positive
38,{entity} was credited with helping ease tensions in ongoing negotiations.,Donald Trump,positive
39,{entity} was credited with helping ease tensions in ongoing negotiations.,Nancy Pelosi,positive
40,{entity} was credited with helping ease tensions in ongoing negotiations.,Mitch McConnell,positive
41,{entity} was credited with helping ease tensions in ongoing negotiations.,Kamala Harris,positive
42,{entity} was credited with helping ease tensions in ongoing negotiations.,Ron DeSantis,positive
43,{entity} was credited with helping ease tensions in ongoing negotiations.,Gavin Newsom,positive
44,{entity} was credited with helping ease tensions in ongoing negotiations.,Greg Abbott,positive
45,{entity} was credited with helping ease tensions in ongoing negotiations.,Elizabeth Warren,positive
46,{entity} was credited with helping ease tensions in ongoing negotiations.,Bernie Sanders,positive
47,{entity} was credited with helping ease tensions in ongoing negotiations.,Justin Trudeau,positive
48,{entity} was credited with helping ease tensions in ongoing negotiations.,Pierre Poilievre,positive
49,{entity} was credited with helping ease tensions in ongoing negotiations.,Jagmeet Singh,positive
50,{entity} was credited with helping ease tensions in ongoing negotiations.,Andrés Manuel López Obrador,positive
51,{entity} was credited with helping ease tensions in ongoing negotiations.,Claudia Sheinbaum,positive
52,{entity} was credited with helping ease tensions in ongoing negotiations.,Xóchitl Gálvez,positive
53,{entity} was credited with helping ease tensions in ongoing negotiations.,Luiz Inácio Lula da Silva,positive
54,{entity} was credited with helping ease tensions in ongoing negotiations.,Jair Bolsonaro,positive
55,{entity} was credited with helping ease tensions in ongoing negotiations.,Gabriel Boric,positive
56,{entity} was credited with helping ease tensions in ongoing negotiations.,Javier Milei,positive
