sentence,target,prompt,expected_sentiment
José Mujica was credited with helping ease tensions in ongoing negotiations.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica was credited with helping ease tensions in ongoing negotiations.

Target: José Mujica

Sentiment:",positive
José Mujica received widespread praise for their handling of the crisis.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica received widespread praise for their handling of the crisis.

Target: José Mujica

Sentiment:",positive
José Mujica was applauded for taking a bold stance on the issue.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica was applauded for taking a bold stance on the issue.

Target: José Mujica

Sentiment:",positive
José Mujica earned recognition for their efforts to promote dialogue.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica earned recognition for their efforts to promote dialogue.

Target: José Mujica

Sentiment:",positive
José Mujica was hailed as a unifying figure in the debate.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica was hailed as a unifying figure in the debate.

Target: José Mujica

Sentiment:",positive
José Mujica drew support from across the political spectrum for the proposal.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica drew support from across the political spectrum for the proposal.

Target: José Mujica

Sentiment:",positive
José Mujica was commended for their commitment to transparency.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica was commended for their commitment to transparency.

Target: José Mujica

Sentiment:",positive
José Mujica won approval for the way they addressed the matter.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica won approval for the way they addressed the matter.

Target: José Mujica

Sentiment:",positive
José Mujica was praised for standing up for marginalised communities.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica was praised for standing up for marginalised communities.

Target: José Mujica

Sentiment:",positive
José Mujica received positive feedback for their diplomatic approach.,José Mujica,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: José Mujica received positive feedback for their diplomatic approach.

Target: José Mujica

Sentiment:",positive
