sentence,target,prompt,expected_sentiment
Mark Kelly was credited with helping ease tensions in ongoing negotiations.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was credited with helping ease tensions in ongoing negotiations.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly received widespread praise for their handling of the crisis.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly received widespread praise for their handling of the crisis.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was applauded for taking a bold stance on the issue.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was applauded for taking a bold stance on the issue.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly earned recognition for their efforts to promote dialogue.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly earned recognition for their efforts to promote dialogue.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was hailed as a unifying figure in the debate.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was hailed as a unifying figure in the debate.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly drew support from across the political spectrum for the proposal.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly drew support from across the political spectrum for the proposal.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was commended for their commitment to transparency.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was commended for their commitment to transparency.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly won approval for the way they addressed the matter.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly won approval for the way they addressed the matter.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was praised for standing up for marginalised communities.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was praised for standing up for marginalised communities.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly received positive feedback for their diplomatic approach.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly received positive feedback for their diplomatic approach.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was credited with improving relations between the parties.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was credited with improving relations between the parties.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly earned respect for their principled position on the matter.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly earned respect for their principled position on the matter.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was hailed for their leadership during the negotiations.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was hailed for their leadership during the negotiations.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly drew acclaim for their efforts to find common ground.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly drew acclaim for their efforts to find common ground.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was applauded for putting the national interest first.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was applauded for putting the national interest first.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly received widespread support for their reform agenda.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly received widespread support for their reform agenda.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was commended for their integrity and consistency.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was commended for their integrity and consistency.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly won praise for their inclusive approach to governance.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly won praise for their inclusive approach to governance.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly was praised for prioritising the needs of ordinary citizens.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was praised for prioritising the needs of ordinary citizens.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly earned recognition for their contribution to the peace process.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly earned recognition for their contribution to the peace process.

Target: Mark Kelly

Sentiment:",positive
Mark Kelly drew criticism for the way they handled the issue.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly drew criticism for the way they handled the issue.

Target: Mark Kelly

Sentiment:",negative
Mark Kelly was condemned for their failure to address the crisis.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was condemned for their failure to address the crisis.

Target: Mark Kelly

Sentiment:",negative
Mark Kelly faced backlash over their controversial remarks.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly faced backlash over their controversial remarks.

Target: Mark Kelly

Sentiment:",negative
Mark Kelly was accused of undermining democratic institutions.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly was accused of undermining democratic institutions.

Target: Mark Kelly

Sentiment:",negative
Mark Kelly drew fire for their handling of the scandal.,Mark Kelly,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mark Kelly drew fire for their handling of the scandal.

Target: Mark Kelly

Sentiment:",negative
