sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Ranil Wickremesinghe was credited with helping ease tensions in ongoing negotiations.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe was credited with helping ease tensions in ongoing negotiations.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe received widespread praise for their handling of the crisis.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe received widespread praise for their handling of the crisis.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe was applauded for taking a bold stance on the issue.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe was applauded for taking a bold stance on the issue.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe earned recognition for their efforts to promote dialogue.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe earned recognition for their efforts to promote dialogue.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe was hailed as a unifying figure in the debate.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe was hailed as a unifying figure in the debate.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe drew support from across the political spectrum for the proposal.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe drew support from across the political spectrum for the proposal.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe was commended for their commitment to transparency.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe was commended for their commitment to transparency.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe won approval for the way they addressed the matter.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe won approval for the way they addressed the matter.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe was praised for standing up for marginalised communities.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe was praised for standing up for marginalised communities.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
Ranil Wickremesinghe received positive feedback for their diplomatic approach.,Ranil Wickremesinghe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ranil Wickremesinghe received positive feedback for their diplomatic approach.

Target: Ranil Wickremesinghe

Sentiment:",positive,positive,llama-3.1-8b
