sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mahatma Gandhi was credited with helping ease tensions in ongoing negotiations.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was credited with helping ease tensions in ongoing negotiations.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi received widespread praise for their handling of the crisis.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi received widespread praise for their handling of the crisis.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was applauded for taking a bold stance on the issue.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was applauded for taking a bold stance on the issue.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi earned recognition for their efforts to promote dialogue.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi earned recognition for their efforts to promote dialogue.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was hailed as a unifying figure in the debate.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was hailed as a unifying figure in the debate.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi drew support from across the political spectrum for the proposal.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi drew support from across the political spectrum for the proposal.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was commended for their commitment to transparency.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was commended for their commitment to transparency.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi won approval for the way they addressed the matter.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi won approval for the way they addressed the matter.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was praised for standing up for marginalised communities.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was praised for standing up for marginalised communities.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi received positive feedback for their diplomatic approach.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi received positive feedback for their diplomatic approach.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was credited with improving relations between the parties.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was credited with improving relations between the parties.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi earned respect for their principled position on the matter.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi earned respect for their principled position on the matter.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was hailed for their leadership during the negotiations.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was hailed for their leadership during the negotiations.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi drew acclaim for their efforts to find common ground.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi drew acclaim for their efforts to find common ground.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was applauded for putting the national interest first.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was applauded for putting the national interest first.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi received widespread support for their reform agenda.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi received widespread support for their reform agenda.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi was commended for their integrity and consistency.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi was commended for their integrity and consistency.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
Mahatma Gandhi won praise for their inclusive approach to governance.,Mahatma Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahatma Gandhi won praise for their inclusive approach to governance.

Target: Mahatma Gandhi

Sentiment:",positive,positive,llama-3.1-8b
