sentence,target,prompt,expected_sentiment
Kevin Rudd was credited with helping ease tensions in ongoing negotiations.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was credited with helping ease tensions in ongoing negotiations.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd received widespread praise for their handling of the crisis.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd received widespread praise for their handling of the crisis.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd was applauded for taking a bold stance on the issue.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was applauded for taking a bold stance on the issue.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd earned recognition for their efforts to promote dialogue.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd earned recognition for their efforts to promote dialogue.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd was hailed as a unifying figure in the debate.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was hailed as a unifying figure in the debate.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd drew support from across the political spectrum for the proposal.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd drew support from across the political spectrum for the proposal.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd was commended for their commitment to transparency.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was commended for their commitment to transparency.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd won approval for the way they addressed the matter.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd won approval for the way they addressed the matter.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd was praised for standing up for marginalised communities.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was praised for standing up for marginalised communities.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd received positive feedback for their diplomatic approach.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd received positive feedback for their diplomatic approach.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd was credited with improving relations between the parties.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was credited with improving relations between the parties.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd earned respect for their principled position on the matter.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd earned respect for their principled position on the matter.

Target: Kevin Rudd

Sentiment:",positive
Kevin Rudd was hailed for their leadership during the negotiations.,Kevin Rudd,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kevin Rudd was hailed for their leadership during the negotiations.

Target: Kevin Rudd

Sentiment:",positive
