sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Imran Khan was credited with helping ease tensions in ongoing negotiations.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was credited with helping ease tensions in ongoing negotiations.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan received widespread praise for their handling of the crisis.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan received widespread praise for their handling of the crisis.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was applauded for taking a bold stance on the issue.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was applauded for taking a bold stance on the issue.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan earned recognition for their efforts to promote dialogue.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan earned recognition for their efforts to promote dialogue.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was hailed as a unifying figure in the debate.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was hailed as a unifying figure in the debate.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan drew support from across the political spectrum for the proposal.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan drew support from across the political spectrum for the proposal.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was commended for their commitment to transparency.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was commended for their commitment to transparency.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan won approval for the way they addressed the matter.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan won approval for the way they addressed the matter.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was praised for standing up for marginalised communities.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was praised for standing up for marginalised communities.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan received positive feedback for their diplomatic approach.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan received positive feedback for their diplomatic approach.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was credited with improving relations between the parties.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was credited with improving relations between the parties.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan earned respect for their principled position on the matter.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan earned respect for their principled position on the matter.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was hailed for their leadership during the negotiations.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was hailed for their leadership during the negotiations.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan drew acclaim for their efforts to find common ground.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan drew acclaim for their efforts to find common ground.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was applauded for putting the national interest first.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was applauded for putting the national interest first.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan received widespread support for their reform agenda.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan received widespread support for their reform agenda.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was commended for their integrity and consistency.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was commended for their integrity and consistency.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan won praise for their inclusive approach to governance.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan won praise for their inclusive approach to governance.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan was praised for prioritising the needs of ordinary citizens.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was praised for prioritising the needs of ordinary citizens.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan earned recognition for their contribution to the peace process.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan earned recognition for their contribution to the peace process.

Target: Imran Khan

Sentiment:",positive,positive,llama-3.1-8b
Imran Khan drew criticism for the way they handled the issue.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan drew criticism for the way they handled the issue.

Target: Imran Khan

Sentiment:",negative,negative,llama-3.1-8b
Imran Khan was condemned for their failure to address the crisis.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was condemned for their failure to address the crisis.

Target: Imran Khan

Sentiment:",negative,negative,llama-3.1-8b
Imran Khan faced backlash over their controversial remarks.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan faced backlash over their controversial remarks.

Target: Imran Khan

Sentiment:",negative,negative,llama-3.1-8b
Imran Khan was accused of undermining democratic institutions.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan was accused of undermining democratic institutions.

Target: Imran Khan

Sentiment:",negative,negative,llama-3.1-8b
Imran Khan drew fire for their handling of the scandal.,Imran Khan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Imran Khan drew fire for their handling of the scandal.

Target: Imran Khan

Sentiment:",negative,negative,llama-3.1-8b
