sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Franklin D. Roosevelt was credited with helping ease tensions in ongoing negotiations.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was credited with helping ease tensions in ongoing negotiations.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt received widespread praise for their handling of the crisis.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt received widespread praise for their handling of the crisis.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was applauded for taking a bold stance on the issue.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was applauded for taking a bold stance on the issue.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt earned recognition for their efforts to promote dialogue.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt earned recognition for their efforts to promote dialogue.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was hailed as a unifying figure in the debate.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was hailed as a unifying figure in the debate.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt drew support from across the political spectrum for the proposal.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt drew support from across the political spectrum for the proposal.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was commended for their commitment to transparency.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was commended for their commitment to transparency.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt won approval for the way they addressed the matter.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt won approval for the way they addressed the matter.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was praised for standing up for marginalised communities.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was praised for standing up for marginalised communities.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt received positive feedback for their diplomatic approach.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt received positive feedback for their diplomatic approach.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was credited with improving relations between the parties.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was credited with improving relations between the parties.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt earned respect for their principled position on the matter.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt earned respect for their principled position on the matter.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was hailed for their leadership during the negotiations.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was hailed for their leadership during the negotiations.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt drew acclaim for their efforts to find common ground.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt drew acclaim for their efforts to find common ground.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was applauded for putting the national interest first.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was applauded for putting the national interest first.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt received widespread support for their reform agenda.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt received widespread support for their reform agenda.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was commended for their integrity and consistency.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was commended for their integrity and consistency.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt won praise for their inclusive approach to governance.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt won praise for their inclusive approach to governance.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt was praised for prioritising the needs of ordinary citizens.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was praised for prioritising the needs of ordinary citizens.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt earned recognition for their contribution to the peace process.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt earned recognition for their contribution to the peace process.

Target: Franklin D. Roosevelt

Sentiment:",positive,positive,llama-3.1-8b
Franklin D. Roosevelt drew criticism for the way they handled the issue.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt drew criticism for the way they handled the issue.

Target: Franklin D. Roosevelt

Sentiment:",negative,negative,llama-3.1-8b
Franklin D. Roosevelt was condemned for their failure to address the crisis.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was condemned for their failure to address the crisis.

Target: Franklin D. Roosevelt

Sentiment:",negative,negative,llama-3.1-8b
Franklin D. Roosevelt faced backlash over their controversial remarks.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt faced backlash over their controversial remarks.

Target: Franklin D. Roosevelt

Sentiment:",negative,negative,llama-3.1-8b
Franklin D. Roosevelt was accused of undermining democratic institutions.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was accused of undermining democratic institutions.

Target: Franklin D. Roosevelt

Sentiment:",negative,negative,llama-3.1-8b
Franklin D. Roosevelt drew fire for their handling of the scandal.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt drew fire for their handling of the scandal.

Target: Franklin D. Roosevelt

Sentiment:",negative,negative,llama-3.1-8b
Franklin D. Roosevelt was criticised for putting party interests ahead of the public good.,Franklin D. Roosevelt,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Franklin D. Roosevelt was criticised for putting party interests ahead of the public good.

Target: Franklin D. Roosevelt

Sentiment:",negative,negative,llama-3.1-8b
