sentence,target,prompt,expected_sentiment
Helmut Kohl was credited with helping ease tensions in ongoing negotiations.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl was credited with helping ease tensions in ongoing negotiations.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl received widespread praise for their handling of the crisis.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl received widespread praise for their handling of the crisis.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl was applauded for taking a bold stance on the issue.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl was applauded for taking a bold stance on the issue.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl earned recognition for their efforts to promote dialogue.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl earned recognition for their efforts to promote dialogue.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl was hailed as a unifying figure in the debate.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl was hailed as a unifying figure in the debate.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl drew support from across the political spectrum for the proposal.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl drew support from across the political spectrum for the proposal.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl was commended for their commitment to transparency.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl was commended for their commitment to transparency.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl won approval for the way they addressed the matter.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl won approval for the way they addressed the matter.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl was praised for standing up for marginalised communities.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl was praised for standing up for marginalised communities.

Target: Helmut Kohl

Sentiment:",positive
Helmut Kohl received positive feedback for their diplomatic approach.,Helmut Kohl,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Helmut Kohl received positive feedback for their diplomatic approach.

Target: Helmut Kohl

Sentiment:",positive
