sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Netumbo Nandi-Ndaitwah was credited with helping ease tensions in ongoing negotiations.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was credited with helping ease tensions in ongoing negotiations.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah received widespread praise for their handling of the crisis.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah received widespread praise for their handling of the crisis.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was applauded for taking a bold stance on the issue.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was applauded for taking a bold stance on the issue.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah earned recognition for their efforts to promote dialogue.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah earned recognition for their efforts to promote dialogue.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was hailed as a unifying figure in the debate.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was hailed as a unifying figure in the debate.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah drew support from across the political spectrum for the proposal.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah drew support from across the political spectrum for the proposal.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was commended for their commitment to transparency.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was commended for their commitment to transparency.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah won approval for the way they addressed the matter.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah won approval for the way they addressed the matter.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was praised for standing up for marginalised communities.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was praised for standing up for marginalised communities.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah received positive feedback for their diplomatic approach.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah received positive feedback for their diplomatic approach.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was credited with improving relations between the parties.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was credited with improving relations between the parties.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah earned respect for their principled position on the matter.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah earned respect for their principled position on the matter.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was hailed for their leadership during the negotiations.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was hailed for their leadership during the negotiations.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah drew acclaim for their efforts to find common ground.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah drew acclaim for their efforts to find common ground.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was applauded for putting the national interest first.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was applauded for putting the national interest first.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah received widespread support for their reform agenda.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah received widespread support for their reform agenda.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was commended for their integrity and consistency.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was commended for their integrity and consistency.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah won praise for their inclusive approach to governance.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah won praise for their inclusive approach to governance.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah was praised for prioritising the needs of ordinary citizens.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was praised for prioritising the needs of ordinary citizens.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah earned recognition for their contribution to the peace process.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah earned recognition for their contribution to the peace process.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",positive,positive,llama-3.1-8b
Netumbo Nandi-Ndaitwah drew criticism for the way they handled the issue.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah drew criticism for the way they handled the issue.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",negative,negative,llama-3.1-8b
Netumbo Nandi-Ndaitwah was condemned for their failure to address the crisis.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was condemned for their failure to address the crisis.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",negative,negative,llama-3.1-8b
Netumbo Nandi-Ndaitwah faced backlash over their controversial remarks.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah faced backlash over their controversial remarks.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",negative,negative,llama-3.1-8b
Netumbo Nandi-Ndaitwah was accused of undermining democratic institutions.,Netumbo Nandi-Ndaitwah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Netumbo Nandi-Ndaitwah was accused of undermining democratic institutions.

Target: Netumbo Nandi-Ndaitwah

Sentiment:",negative,negative,llama-3.1-8b
