sentence,target,prompt,expected_sentiment
Eamon de Valera was credited with helping ease tensions in ongoing negotiations.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was credited with helping ease tensions in ongoing negotiations.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera received widespread praise for their handling of the crisis.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera received widespread praise for their handling of the crisis.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was applauded for taking a bold stance on the issue.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was applauded for taking a bold stance on the issue.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera earned recognition for their efforts to promote dialogue.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera earned recognition for their efforts to promote dialogue.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was hailed as a unifying figure in the debate.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was hailed as a unifying figure in the debate.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera drew support from across the political spectrum for the proposal.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera drew support from across the political spectrum for the proposal.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was commended for their commitment to transparency.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was commended for their commitment to transparency.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera won approval for the way they addressed the matter.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera won approval for the way they addressed the matter.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was praised for standing up for marginalised communities.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was praised for standing up for marginalised communities.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera received positive feedback for their diplomatic approach.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera received positive feedback for their diplomatic approach.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was credited with improving relations between the parties.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was credited with improving relations between the parties.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera earned respect for their principled position on the matter.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera earned respect for their principled position on the matter.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was hailed for their leadership during the negotiations.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was hailed for their leadership during the negotiations.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera drew acclaim for their efforts to find common ground.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera drew acclaim for their efforts to find common ground.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was applauded for putting the national interest first.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was applauded for putting the national interest first.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera received widespread support for their reform agenda.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera received widespread support for their reform agenda.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was commended for their integrity and consistency.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was commended for their integrity and consistency.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera won praise for their inclusive approach to governance.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera won praise for their inclusive approach to governance.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera was praised for prioritising the needs of ordinary citizens.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was praised for prioritising the needs of ordinary citizens.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera earned recognition for their contribution to the peace process.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera earned recognition for their contribution to the peace process.

Target: Eamon de Valera

Sentiment:",positive
Eamon de Valera drew criticism for the way they handled the issue.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera drew criticism for the way they handled the issue.

Target: Eamon de Valera

Sentiment:",negative
Eamon de Valera was condemned for their failure to address the crisis.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was condemned for their failure to address the crisis.

Target: Eamon de Valera

Sentiment:",negative
Eamon de Valera faced backlash over their controversial remarks.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera faced backlash over their controversial remarks.

Target: Eamon de Valera

Sentiment:",negative
Eamon de Valera was accused of undermining democratic institutions.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera was accused of undermining democratic institutions.

Target: Eamon de Valera

Sentiment:",negative
Eamon de Valera drew fire for their handling of the scandal.,Eamon de Valera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Eamon de Valera drew fire for their handling of the scandal.

Target: Eamon de Valera

Sentiment:",negative
