sentence,target,prompt,expected_sentiment
Enrique Peña Nieto was credited with helping ease tensions in ongoing negotiations.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was credited with helping ease tensions in ongoing negotiations.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto received widespread praise for their handling of the crisis.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto received widespread praise for their handling of the crisis.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto was applauded for taking a bold stance on the issue.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was applauded for taking a bold stance on the issue.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto earned recognition for their efforts to promote dialogue.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto earned recognition for their efforts to promote dialogue.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto was hailed as a unifying figure in the debate.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was hailed as a unifying figure in the debate.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto drew support from across the political spectrum for the proposal.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto drew support from across the political spectrum for the proposal.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto was commended for their commitment to transparency.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was commended for their commitment to transparency.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto won approval for the way they addressed the matter.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto won approval for the way they addressed the matter.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto was praised for standing up for marginalised communities.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was praised for standing up for marginalised communities.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto received positive feedback for their diplomatic approach.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto received positive feedback for their diplomatic approach.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto was credited with improving relations between the parties.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was credited with improving relations between the parties.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto earned respect for their principled position on the matter.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto earned respect for their principled position on the matter.

Target: Enrique Peña Nieto

Sentiment:",positive
Enrique Peña Nieto was hailed for their leadership during the negotiations.,Enrique Peña Nieto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrique Peña Nieto was hailed for their leadership during the negotiations.

Target: Enrique Peña Nieto

Sentiment:",positive
