sentence,target,prompt,expected_sentiment
Miloš Zeman was credited with helping ease tensions in ongoing negotiations.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman was credited with helping ease tensions in ongoing negotiations.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman received widespread praise for their handling of the crisis.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman received widespread praise for their handling of the crisis.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman was applauded for taking a bold stance on the issue.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman was applauded for taking a bold stance on the issue.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman earned recognition for their efforts to promote dialogue.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman earned recognition for their efforts to promote dialogue.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman was hailed as a unifying figure in the debate.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman was hailed as a unifying figure in the debate.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman drew support from across the political spectrum for the proposal.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman drew support from across the political spectrum for the proposal.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman was commended for their commitment to transparency.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman was commended for their commitment to transparency.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman won approval for the way they addressed the matter.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman won approval for the way they addressed the matter.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman was praised for standing up for marginalised communities.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman was praised for standing up for marginalised communities.

Target: Miloš Zeman

Sentiment:",positive
Miloš Zeman received positive feedback for their diplomatic approach.,Miloš Zeman,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Miloš Zeman received positive feedback for their diplomatic approach.

Target: Miloš Zeman

Sentiment:",positive
