sentence,target,prompt,expected_sentiment
Halimah Yacob was credited with helping ease tensions in ongoing negotiations.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob was credited with helping ease tensions in ongoing negotiations.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob received widespread praise for their handling of the crisis.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob received widespread praise for their handling of the crisis.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob was applauded for taking a bold stance on the issue.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob was applauded for taking a bold stance on the issue.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob earned recognition for their efforts to promote dialogue.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob earned recognition for their efforts to promote dialogue.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob was hailed as a unifying figure in the debate.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob was hailed as a unifying figure in the debate.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob drew support from across the political spectrum for the proposal.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob drew support from across the political spectrum for the proposal.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob was commended for their commitment to transparency.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob was commended for their commitment to transparency.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob won approval for the way they addressed the matter.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob won approval for the way they addressed the matter.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob was praised for standing up for marginalised communities.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob was praised for standing up for marginalised communities.

Target: Halimah Yacob

Sentiment:",positive
Halimah Yacob received positive feedback for their diplomatic approach.,Halimah Yacob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Halimah Yacob received positive feedback for their diplomatic approach.

Target: Halimah Yacob

Sentiment:",positive
