sentence,target,prompt,expected_sentiment
Irfaan Ali was credited with helping ease tensions in ongoing negotiations.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali was credited with helping ease tensions in ongoing negotiations.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali received widespread praise for their handling of the crisis.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali received widespread praise for their handling of the crisis.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali was applauded for taking a bold stance on the issue.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali was applauded for taking a bold stance on the issue.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali earned recognition for their efforts to promote dialogue.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali earned recognition for their efforts to promote dialogue.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali was hailed as a unifying figure in the debate.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali was hailed as a unifying figure in the debate.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali drew support from across the political spectrum for the proposal.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali drew support from across the political spectrum for the proposal.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali was commended for their commitment to transparency.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali was commended for their commitment to transparency.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali won approval for the way they addressed the matter.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali won approval for the way they addressed the matter.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali was praised for standing up for marginalised communities.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali was praised for standing up for marginalised communities.

Target: Irfaan Ali

Sentiment:",positive
Irfaan Ali received positive feedback for their diplomatic approach.,Irfaan Ali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Irfaan Ali received positive feedback for their diplomatic approach.

Target: Irfaan Ali

Sentiment:",positive
