sentence,target,prompt,expected_sentiment
Jeremy Corbyn was credited with helping ease tensions in ongoing negotiations.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was credited with helping ease tensions in ongoing negotiations.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn received widespread praise for their handling of the crisis.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn received widespread praise for their handling of the crisis.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was applauded for taking a bold stance on the issue.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was applauded for taking a bold stance on the issue.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn earned recognition for their efforts to promote dialogue.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn earned recognition for their efforts to promote dialogue.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was hailed as a unifying figure in the debate.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was hailed as a unifying figure in the debate.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn drew support from across the political spectrum for the proposal.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn drew support from across the political spectrum for the proposal.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was commended for their commitment to transparency.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was commended for their commitment to transparency.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn won approval for the way they addressed the matter.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn won approval for the way they addressed the matter.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was praised for standing up for marginalised communities.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was praised for standing up for marginalised communities.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn received positive feedback for their diplomatic approach.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn received positive feedback for their diplomatic approach.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was credited with improving relations between the parties.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was credited with improving relations between the parties.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn earned respect for their principled position on the matter.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn earned respect for their principled position on the matter.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was hailed for their leadership during the negotiations.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was hailed for their leadership during the negotiations.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn drew acclaim for their efforts to find common ground.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn drew acclaim for their efforts to find common ground.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was applauded for putting the national interest first.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was applauded for putting the national interest first.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn received widespread support for their reform agenda.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn received widespread support for their reform agenda.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was commended for their integrity and consistency.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was commended for their integrity and consistency.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn won praise for their inclusive approach to governance.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn won praise for their inclusive approach to governance.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn was praised for prioritising the needs of ordinary citizens.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was praised for prioritising the needs of ordinary citizens.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn earned recognition for their contribution to the peace process.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn earned recognition for their contribution to the peace process.

Target: Jeremy Corbyn

Sentiment:",positive
Jeremy Corbyn drew criticism for the way they handled the issue.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn drew criticism for the way they handled the issue.

Target: Jeremy Corbyn

Sentiment:",negative
Jeremy Corbyn was condemned for their failure to address the crisis.,Jeremy Corbyn,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jeremy Corbyn was condemned for their failure to address the crisis.

Target: Jeremy Corbyn

Sentiment:",negative
