sentence,target,prompt,expected_sentiment
Sonia Gandhi was credited with helping ease tensions in ongoing negotiations.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi was credited with helping ease tensions in ongoing negotiations.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi received widespread praise for their handling of the crisis.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi received widespread praise for their handling of the crisis.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi was applauded for taking a bold stance on the issue.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi was applauded for taking a bold stance on the issue.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi earned recognition for their efforts to promote dialogue.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi earned recognition for their efforts to promote dialogue.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi was hailed as a unifying figure in the debate.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi was hailed as a unifying figure in the debate.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi drew support from across the political spectrum for the proposal.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi drew support from across the political spectrum for the proposal.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi was commended for their commitment to transparency.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi was commended for their commitment to transparency.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi won approval for the way they addressed the matter.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi won approval for the way they addressed the matter.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi was praised for standing up for marginalised communities.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi was praised for standing up for marginalised communities.

Target: Sonia Gandhi

Sentiment:",positive
Sonia Gandhi received positive feedback for their diplomatic approach.,Sonia Gandhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sonia Gandhi received positive feedback for their diplomatic approach.

Target: Sonia Gandhi

Sentiment:",positive
