sentence,target,prompt,expected_sentiment
Boris Johnson was credited with helping ease tensions in ongoing negotiations.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson was credited with helping ease tensions in ongoing negotiations.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson received widespread praise for their handling of the crisis.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson received widespread praise for their handling of the crisis.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson was applauded for taking a bold stance on the issue.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson was applauded for taking a bold stance on the issue.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson earned recognition for their efforts to promote dialogue.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson earned recognition for their efforts to promote dialogue.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson was hailed as a unifying figure in the debate.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson was hailed as a unifying figure in the debate.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson drew support from across the political spectrum for the proposal.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson drew support from across the political spectrum for the proposal.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson was commended for their commitment to transparency.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson was commended for their commitment to transparency.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson won approval for the way they addressed the matter.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson won approval for the way they addressed the matter.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson was praised for standing up for marginalised communities.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson was praised for standing up for marginalised communities.

Target: Boris Johnson

Sentiment:",positive
Boris Johnson received positive feedback for their diplomatic approach.,Boris Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boris Johnson received positive feedback for their diplomatic approach.

Target: Boris Johnson

Sentiment:",positive
