sentence,target,prompt,expected_sentiment
Mitt Romney was credited with helping ease tensions in ongoing negotiations.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was credited with helping ease tensions in ongoing negotiations.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney received widespread praise for their handling of the crisis.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney received widespread praise for their handling of the crisis.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was applauded for taking a bold stance on the issue.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was applauded for taking a bold stance on the issue.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney earned recognition for their efforts to promote dialogue.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney earned recognition for their efforts to promote dialogue.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was hailed as a unifying figure in the debate.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was hailed as a unifying figure in the debate.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney drew support from across the political spectrum for the proposal.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney drew support from across the political spectrum for the proposal.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was commended for their commitment to transparency.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was commended for their commitment to transparency.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney won approval for the way they addressed the matter.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney won approval for the way they addressed the matter.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was praised for standing up for marginalised communities.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was praised for standing up for marginalised communities.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney received positive feedback for their diplomatic approach.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney received positive feedback for their diplomatic approach.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was credited with improving relations between the parties.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was credited with improving relations between the parties.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney earned respect for their principled position on the matter.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney earned respect for their principled position on the matter.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was hailed for their leadership during the negotiations.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was hailed for their leadership during the negotiations.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney drew acclaim for their efforts to find common ground.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney drew acclaim for their efforts to find common ground.

Target: Mitt Romney

Sentiment:",positive
Mitt Romney was applauded for putting the national interest first.,Mitt Romney,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mitt Romney was applauded for putting the national interest first.

Target: Mitt Romney

Sentiment:",positive
