sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mahathir Mohamad was credited with helping ease tensions in ongoing negotiations.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was credited with helping ease tensions in ongoing negotiations.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad received widespread praise for their handling of the crisis.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad received widespread praise for their handling of the crisis.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad was applauded for taking a bold stance on the issue.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was applauded for taking a bold stance on the issue.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad earned recognition for their efforts to promote dialogue.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad earned recognition for their efforts to promote dialogue.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad was hailed as a unifying figure in the debate.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was hailed as a unifying figure in the debate.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad drew support from across the political spectrum for the proposal.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad drew support from across the political spectrum for the proposal.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad was commended for their commitment to transparency.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was commended for their commitment to transparency.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad won approval for the way they addressed the matter.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad won approval for the way they addressed the matter.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad was praised for standing up for marginalised communities.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was praised for standing up for marginalised communities.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad received positive feedback for their diplomatic approach.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad received positive feedback for their diplomatic approach.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad was credited with improving relations between the parties.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was credited with improving relations between the parties.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad earned respect for their principled position on the matter.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad earned respect for their principled position on the matter.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
Mahathir Mohamad was hailed for their leadership during the negotiations.,Mahathir Mohamad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahathir Mohamad was hailed for their leadership during the negotiations.

Target: Mahathir Mohamad

Sentiment:",positive,positive,llama-3.1-8b
